Category,Factors,Score G1,Score G2,Score G3,Score G4,Score G5,Score G6,Score G7,Score G8,Score G9,Err Low G1,Err Low G2,Err Low G3,Err Low G4,Err Low G5,Err Low G6,Err Low G7,Err Low G8,Err Low G9,Err High G1,Err High G2,Err High G3,Err High G4,Err High G5,Err High G6,Err High G7,Err High G8,Err High G9
Often Education,1,-0.07010295831004629,-0.2175016227630295,-0.01856935496821452,-0.13894364506722484,-0.028496460134844803,0.25381592612071713,-0.10040353781753664,0.10803894918597737,0.1548270794239599,-0.15852776775971078,-0.28167188728066556,-0.05242944102129821,-0.2036500620794575,-0.1025395145818738,0.21825314908093935,-0.16180190901573166,0.06548014510400967,0.09342345983888445,0.018321851139618206,-0.15333135824539346,0.015290731084869176,-0.0742372280549922,0.04554659431218419,0.2893787031604949,-0.0390051666193416,0.15059775326794506,0.21623069900903535
Often Attend Sports/Social/Club,0,0.026327267140090236,0.0047963417813207815,0.004771770189393941,0.01583643382376472,-0.0284511147854308,0.0002845213493813084,-0.00042144189714362354,0.0011135535543119494,-0.018663379570917134,0.024473024286383024,0.0024055076606175193,0.0009887452440983848,0.010611100659645878,-0.03697098381602675,-0.004141840921025652,-0.00492092359832976,-0.00466091034467229,-0.026153872452036455,0.028181509993797448,0.007187175902024044,0.008554795134689498,0.021061766987883562,-0.019931245754834848,0.00471088361978827,0.004078039804042512,0.0068880174532961885,-0.011172886689797813
Often Attend Sports/Social/Club,1,-0.15775213884744832,-0.02873952585433978,-0.028592293664962888,-0.09489140267091148,0.17047816570226004,-0.0017048427842446287,0.002525266307382677,-0.006672377120616177,0.11183037076228258,-0.17383159826395078,-0.045948567976311486,-0.05302632173157851,-0.13042560646719978,0.12806865079842503,-0.026520021947814835,-0.023183750899825068,-0.03595824701099127,0.0794328041503096,-0.14167267943094586,-0.01153048373236808,-0.004158265598347269,-0.05935719887462318,0.21288768060609506,0.023110336379325577,0.02823428351459042,0.022613492769758915,0.14422793737425557
Often Attend Non Religious Orgs,0,-0.010117467351385504,0.002529670341755618,0.0026883216330134446,0.011010094771687831,-0.0034345463719059684,0.007880151748826905,0.00033949005694311083,-0.010066405429066342,0.0018569973508104805,-0.01438761865440319,0.0008990709503012937,0.0008914869947649914,0.009215219199560561,-0.005898957979388227,0.0068859751012983845,-0.002659181042251871,-0.011877017521773996,-0.004111796209339522,-0.005847316048367818,0.004160269733209943,0.004485156271261898,0.012804970343815102,-0.0009701347644237106,0.008874328396355425,0.0033381611561380926,-0.008255793336358688,0.007825790910960483
Often Attend Non Religious Orgs,1,0.22318730958586167,-0.05580352257210571,-0.0593033070170052,-0.24287831579133884,0.075764728243833,-0.17383301639299614,-0.007489015759453656,0.22206090386900654,-0.04096462367913724,0.12651385233195017,-0.10042255572113762,-0.1039827083866387,-0.29844609663485944,0.024666006038357655,-0.20120728438126287,-0.07273739574647944,0.18887583154789686,-0.16016024550346558,0.31986076683977316,-0.011184489423073804,-0.014623905647371711,-0.1873105349478182,0.12686345044930836,-0.14645874840472942,0.057759364227572135,0.25524597619011624,0.0782309981451911
Often Pray Privately,0,0.0316855143932087,0.02771984392229472,0.017137737010820178,0.004866822826605778,0.022304742925718737,-0.04450057576891033,-0.04634920656980682,-0.01428519597613708,-0.018671285653455924,0.022921780477143505,0.015695880969725545,0.004127821913706491,-0.003842561207551826,0.011297591790362249,-0.06039852251334492,-0.05820362420378665,-0.023890710108818575,-0.03714137649093795,0.04044924830927389,0.039743806874863896,0.030147652107933867,0.013576206860763383,0.03331189406107522,-0.028602629024475745,-0.034494788935826984,-0.004679681843455583,-0.00020119481597389785
Often Pray Privately,1,-0.021382768972425113,-0.018706561338614473,-0.011565293422886345,-0.0032843446011197245,-0.015052214682435491,0.03003093208455084,0.03127846888765703,0.009640274148398425,0.012600199024434176,-0.027874568979642855,-0.027287084004622094,-0.020424875780147525,-0.009333153431871643,-0.022639424724854272,0.020218591425023358,0.024028707197002706,0.0034275518397885755,0.0009189620861694298,-0.014890968965207368,-0.010126038672606853,-0.002705711065625163,0.0027644642296321942,-0.007465004640016712,0.03984327274407832,0.03852823057831135,0.015852996457008273,0.024281435962698925
Often Read,0,0.22331697568660352,0.012280305845365951,-0.001523631593519768,-0.009223118544507913,0.06217832980948852,-0.033729323748257385,-0.18374052884607273,-0.12929919271689247,-0.05764278762727851,0.20306312698493073,-0.007505831337132113,-0.01711893950962455,-0.035420569502990565,0.04308336373240154,-0.05493878243337158,-0.22264582640137828,-0.15506234115984618,-0.08789506238509939,0.24357082438827632,0.03206644302786402,0.014071676322585014,0.016974332413974738,0.0812732958865755,-0.01251986506314319,-0.14483523129076717,-0.10353604427393877,-0.027390512869457616
Often Read,1,-0.048187811094385816,-0.002649870465236088,0.0003287724597748661,0.0019901840993386487,-0.013416972004980413,0.0072781850825499525,0.0396479213780981,0.027900454294357387,0.012438283084377834,-0.05466433940315321,-0.007557184186788959,-0.0030956075311240087,-0.003535212210114834,-0.01763769069764245,0.003306675325325403,0.033504448472049066,0.02367638098423964,0.007640838020152786,-0.04171128278561842,0.0022574432563167834,0.0037531524506737406,0.007515580408792131,-0.009196253312318377,0.011249694839774501,0.04579139428414713,0.03212452760447513,0.017235728148602882
Often Watch Television,0,0.009847347190269983,0.021978494744716706,0.013090532750063805,0.26950988637374973,0.008010889870917906,-0.14913560749011684,-0.08833818877670593,-0.22707912706610575,0.09413279020298781,-0.0355395109470585,-0.019254634227910336,-0.030510808099168625,0.2286094686122831,-0.05226052379856283,-0.21766273969161976,-0.16673212697973208,-0.291115759426352,0.01718885427983434,0.05523420532759847,0.06321162371734375,0.056691873599296234,0.31041030413521636,0.06828230354039865,-0.08060847528861391,-0.009944250573679786,-0.16304249470585952,0.17107672612614128
